Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Hungary,16879.0,193.8,11.4,2.5,,0.854,6.56,32.0,39.0,58.94,0.5,0.05,0.3,3.7,12.0,6647.0,160.0,30.6,2150.0,11.8,1.49,40.0,26.4,76.9,43.6,65.0,1426.0,-0.34,76.4,100.7,169.0,99.1,29.3,4.7,10.0,159.05,690.291,11645.0,3470.0,9.75
Iceland,71345.0,,9.1,0.9,,0.949,9.37,40.0,,75.1,0.2,0.4,,2.0,15.0,,81.0,26.8,4420.0,11.2,1.75,30.3,21.9,97.8,37.1,77.1,,0.77,82.3,84.8,33.0,,32.7,7.5,10.3,225.82,2022.494,1767.0,3260.0,8.1
India,2116.0,55.76,5.7,3.1,2.9,0.645,6.61,,90.0,2.3,14.6,0.8,0.03,34.3,7.0,709.0,20.2,37.8,,12.9,2.202,48.9,3.9,61.6,28.7,55.2,554.0,1.1,70.8,5.2,35.0,45.4,22.2,3.1,15.0,84.5,100.387,90000.0,2360.0,23.65
Indonesia,4136.0,,0.8,0.4,,0.718,6.3,11.0,99.0,10.72,86.7,0.8,0.00063,23.9,12.0,2477.0,37.0,39.0,,2.6,2.288,41.8,6.9,79.3,31.1,65.8,3192.0,1.05,71.3,8.3,93.0,70.1,19.0,3.6,136.0,14.82,100.676,135081.0,2550.0,25.85
Iran,7282.0,,1.0,2.5,,0.783,2.2,,73.0,0.4,99.4,0.05,0.053,13.9,15.0,1275.0,2.0,40.8,,5.1,2.146,21.4,25.8,95.5,31.7,51.1,49714.0,1.04,77.3,23.1,228.0,36.8,23.8,4.0,1.9,46.69,590.537,102691.0,3050.0,17.25
Iraq,573.0,,0.4,10.1,,0.674,3.62,,84.0,3.0,95.7,0.05,,25.9,9.0,2538.0,44.0,29.5,,4.7,3.597,28.0,30.4,49.2,21.2,,119664.0,2.78,72.4,,126.0,20.4,25.3,3.5,304.0,22.18,158.013,,,21.4
Ireland,81637.0,112.81,13.0,0.9,,0.955,9.05,52.0,54.0,83.8,1.4,0.2,0.016,3.3,10.0,23395.0,701.0,32.8,4912.0,8.9,1.7,35.5,25.3,83.5,37.8,80.5,,0.78,81.8,106.3,74.0,,34.8,3.7,16.0,291.86,1488.786,,3590.0,9.3
Israel,46376.0,147.36,3.8,1.5,5.6,0.919,7.84,46.0,51.0,3.5,18.0,0.3,40.0,3.7,12.0,17842.0,33.0,39.0,2826.0,5.2,3.01,31.3,26.1,81.0,30.4,72.8,47.0,1.55,82.6,97.1,234.0,79.8,25.0,5.8,29.0,193.6,1459.76,8411.0,3530.0,19.2
Italy,3309.0,90.93,7.5,0.6,1.6,0.892,7.74,25.0,72.0,83.0,4.8,0.2,0.17,3.1,14.0,,141.0,35.9,3485.0,4.3,1.27,26.4,19.9,83.4,46.5,62.2,1189.0,-0.13,83.0,90.4,89.0,96.7,31.3,3.8,8.4,246.88,1175.048,61966.0,3650.0,13.45
Ivory Coast,2276.0,49.33,8.4,,,0.538,4.11,,88.0,32.8,42.9,0.05,,79.3,10.0,750.0,24.0,41.5,,15.7,4.593,20.4,10.3,42.5,20.3,62.4,1265.0,2.49,62.9,11.3,82.0,18.0,19.5,5.1,117.0,6.36,9.893,,2500.0,26.35
Jamaica,5369.0,37.95,4.2,43.9,,0.734,7.13,,70.0,65.3,0.2,0.05,0.0013,13.9,,273.0,122.0,45.5,,2.3,1.965,19.3,24.7,48.0,29.4,68.6,,0.29,76.0,56.8,137.0,66.6,33.2,5.4,,91.13,55.88,,2840.0,24.95
Japan,40063.0,167.18,8.0,0.3,1.0,0.919,8.13,60.0,24.0,2.3,0.1,36.2,0.0063,2.5,11.0,15646.0,96.0,32.9,4504.0,12.2,1.36,33.3,4.3,91.5,48.6,72.1,30.0,-0.23,84.67,45.9,38.0,,29.3,3.6,0.3,72.06,776.661,139078.0,2800.0,11.15
Jordan,4405.0,67.35,0.7,1.4,,0.729,3.62,,96.0,6.0,97.2,0.4,,15.6,,5408.0,83.0,33.7,,2.0,2.691,,35.5,65.0,23.5,66.5,,2.17,77.9,29.8,198.0,87.7,23.8,3.6,0.0,77.68,263.614,511.0,3000.0,18.3
Kazakhstan,9793.0,56.12,7.7,5.1,,0.825,3.14,,53.0,26.2,70.2,0.2,0.016,10.5,14.0,887.0,91.0,27.5,,18.1,2.9,33.2,21.0,75.9,31.6,65.4,88686.0,1.13,74.0,44.8,157.0,99.5,24.3,2.8,0.6,288.12,129.206,1226.0,3510.0,6.4
Kenya,1817.0,,3.4,4.9,,0.601,5.05,,94.0,85.1,11.2,0.05,0.0019,43.2,8.0,755.0,26.0,40.8,,11.0,3.423,18.7,7.1,17.2,20.0,55.1,,2.49,66.1,14.3,81.0,54.0,20.2,5.2,73.3,94.86,24.264,300.0,2030.0,24.75
Kuwait,31999.0,130.66,0.0,1.8,,0.806,3.8,,91.0,15.0,74.6,2.8,,7.9,7.0,2372.0,51.0,,,2.7,2.077,26.3,37.9,98.0,29.7,60.8,721575.0,1.78,81.0,60.2,117.0,69.5,27.5,3.8,,157.66,242.67,196.0,3030.0,25.35
Kyrgyzstan,1318.0,48.12,6.2,2.2,,0.697,4.21,,72.0,14.2,85.0,0.05,0.0025,18.3,14.0,196.0,112.0,27.7,,8.3,3.3,31.7,16.6,36.6,27.3,62.3,169.0,1.44,74.2,39.0,161.0,92.5,21.8,6.1,,210.92,21.732,1455.0,2660.0,1.55
Laos,2625.0,43.98,10.4,,,0.613,1.77,,97.0,2.2,0.05,66.1,,45.5,15.0,1869.0,53.0,36.4,,6.0,2.626,61.1,5.3,24.8,24.0,57.4,,1.45,68.5,15.0,130.0,58.6,20.5,2.9,,2.92,12.32,88.0,2240.0,22.8
Latvia,17885.0,128.69,12.9,4.4,,0.866,7.24,40.0,39.0,75.0,0.15,0.05,0.029,3.6,14.0,6853.0,126.0,35.6,1856.0,16.1,1.61,40.5,23.6,82.2,44.4,70.4,,-1.03,75.4,45.7,175.0,99.9,28.2,4.7,35.3,174.11,735.302,2910.0,2990.0,5.6
Lebanon,7784.0,,1.5,2.5,,0.744,4.16,,87.0,39.5,57.7,0.2,,7.2,,5212.0,63.0,31.8,,2.8,2.075,44.1,32.0,69.3,33.7,51.1,,0.57,76.4,63.1,205.0,60.2,28.8,2.5,,114.52,258.914,3686.0,3090.0,16.4
Lesotho,1158.0,,5.0,43.6,,0.527,6.3,,,90.0,0.1,0.05,,86.4,,978.0,53.0,44.9,,87.5,3.108,23.5,16.6,31.6,24.7,53.1,,1.31,50.7,15.4,92.0,51.4,20.9,6.5,,25.35,9.012,,2460.0,11.85
Liberia,523.0,,5.8,3.3,,0.48,5.32,,94.0,85.5,20.0,0.05,,84.6,,774.0,51.0,35.3,,7.4,4.247,14.2,9.9,7.8,18.0,49.7,,2.52,64.1,7.9,54.0,32.8,18.9,2.3,,3.04,5.188,,2200.0,25.3
Libya,481.0,,0.0,,,0.724,1.95,,,2.7,97.0,0.3,,11.5,14.0,3863.0,9.0,,,4.5,2.206,,32.5,20.8,25.8,,159383.0,1.33,75.8,28.6,139.0,24.2,29.2,2.3,405.0,75.0,24.257,26.0,3150.0,21.8
Lithuania,19795.0,132.67,15.0,4.6,,0.882,7.13,55.0,42.0,83.7,0.1,0.05,0.015,3.7,14.0,8054.0,74.0,37.3,2385.0,20.2,1.61,36.3,26.3,80.1,44.5,74.2,689.0,-0.55,76.0,49.5,216.0,99.8,27.3,4.0,14.1,295.46,809.278,3075.0,3430.0,6.2
Luxembourg,115481.0,154.26,13.0,0.3,,0.916,8.68,50.0,39.0,72.4,2.3,0.05,0.0038,2.8,18.0,28438.0,22.1,34.9,5216.0,8.6,1.34,29.5,22.6,94.5,39.5,75.9,,1.27,82.4,141.7,83.0,,31.1,4.0,37.5,255.3,1438.158,2000.0,3680.0,8.65
Madagascar,523.0,41.4,1.9,,,0.528,5.7,,93.0,85.0,10.0,0.05,0.00063,50.6,,397.0,41.0,42.6,,9.2,4.026,44.0,5.3,9.5,20.3,56.6,,2.67,65.3,17.6,102.0,49.4,18.4,2.8,,24.84,4.836,119.0,2130.0,22.65
Malawi,435.0,,3.7,1.8,,0.483,5.74,,99.0,81.95,20.0,0.05,,41.6,,288.0,39.0,44.7,,10.6,4.127,25.8,5.8,14.1,16.8,51.4,,2.87,65.6,5.1,71.0,35.1,17.9,4.0,,7.98,12.732,117.0,2150.0,21.9
Malaysia,11414.0,103.34,0.9,2.1,,0.81,7.19,,96.0,9.2,61.3,19.8,,8.6,10.0,2663.0,68.0,41.0,,5.8,1.983,28.9,15.6,80.4,29.2,74.0,21202.0,1.35,74.7,50.9,212.0,47.1,25.7,4.7,,25.28,750.475,15354.0,2890.0,25.4
