Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Poland,15727.0,130.98,11.6,0.7,,0.88,6.85,43.0,75.0,94.3,0.02,0.05,0.029,4.4,13.0,9408.0,60.0,29.7,2114.0,9.3,1.42,40.8,23.1,91.5,41.9,67.8,525.0,-0.17,78.3,78.1,181.0,93.0,27.0,4.6,8.0,205.39,940.44,21130.0,3410.0,7.85
Portugal,2335.0,150.39,12.3,0.8,,0.864,7.9,33.0,72.0,84.3,0.4,0.6,0.0038,3.7,16.0,9594.0,203.0,33.8,3097.0,7.2,1.42,25.3,20.8,74.3,44.6,65.3,,-0.39,81.6,91.1,111.0,80.5,31.0,4.9,3.0,205.04,1393.792,7868.0,3580.0,15.15
Qatar,64782.0,105.2,2.0,0.4,,0.848,3.24,,95.0,13.8,77.5,3.1,,6.5,7.0,,83.0,,,4.7,1.846,15.6,35.1,91.0,33.7,72.6,500.0,2.36,77.2,90.5,53.0,41.0,25.4,2.9,,,540.321,209.0,,27.15
Romania,12914.0,214.33,12.6,1.3,,0.828,6.4,,84.0,98.0,0.65,0.05,0.057,7.0,14.0,6513.0,58.0,36.0,,7.3,1.76,42.0,22.5,64.3,42.5,68.6,25469.0,-0.5,75.6,54.5,116.0,96.8,26.7,3.1,7.0,238.33,530.347,14984.0,3490.0,8.8
Russia,11606.0,87.01,11.7,8.2,4.3,0.824,3.31,58.0,34.0,61.8,12.5,0.1,1.0,5.8,14.0,2371.0,32.0,37.5,,21.6,1.504,34.2,23.1,85.1,40.3,58.9,73292.0,0.01,73.2,51.0,325.0,99.2,24.9,3.7,4.0,163.57,559.78,115171.0,3320.0,-5.1
Rwanda,820.0,,9.0,2.6,,0.543,3.1,,95.0,93.6,4.8,,,34.3,14.0,,29.0,43.7,,9.5,3.99,20.2,5.8,21.6,19.7,71.1,,2.36,69.1,4.4,511.0,24.3,20.6,3.1,,7.23,13.819,,2090.0,17.85
Saudi Arabia,2314.0,90.24,0.2,1.3,8.4,0.854,2.08,26.0,93.0,5.0,98.2,0.3,,6.6,12.0,96.0,31.0,,,5.4,2.275,17.2,35.4,80.3,30.8,60.7,324866.0,1.9,74.3,44.6,,51.4,20.4,5.6,,83.65,323.356,2387.0,3120.0,24.65
Senegal,1452.0,35.32,0.7,0.3,,0.512,5.67,,96.0,4.2,96.1,0.3,,45.3,13.0,649.0,42.0,40.3,,11.0,4.556,14.7,8.8,29.6,19.4,56.3,,2.77,68.6,17.7,68.0,21.5,19.9,4.8,,16.86,24.473,,2280.0,27.85
Serbia,7359.0,77.88,11.1,1.2,,0.806,6.22,,54.0,91.0,3.1,0.05,0.0089,5.3,14.0,341.0,62.0,36.2,,7.9,1.52,45.9,21.5,70.2,43.4,63.9,2272.0,-0.34,75.9,,158.0,96.6,28.1,4.0,28.5,148.53,652.98,11897.0,2700.0,10.55
Seychelles,17382.0,,13.8,12.5,,0.796,,,,94.7,1.1,0.05,,14.2,,3957.0,180.0,46.8,,7.7,2.34,25.7,14.0,57.3,36.8,61.4,,0.5,73.3,51.1,324.0,71.5,25.2,4.4,,79.23,102.991,,2400.0,27.15
Sierra Leone,528.0,,5.7,1.7,,0.452,4.86,,,15.45,78.6,0.3,,109.2,14.0,666.0,36.0,35.7,,11.3,4.169,37.0,8.7,13.1,19.1,47.5,,2.12,60.8,6.1,60.0,3.7,17.1,4.6,,7.0,5.359,,2120.0,26.05
Singapore,64103.0,245.5,2.5,0.2,,0.938,6.03,,70.0,18.0,15.6,33.9,0.0057,2.5,10.0,,471.0,,,9.7,1.14,16.6,6.1,83.7,35.6,89.4,,1.4,83.2,71.1,185.0,84.0,27.9,2.9,,,1990.274,12000.0,,26.45
Slovakia,19256.0,101.28,11.5,1.1,,0.86,6.97,31.0,47.0,80.0,0.15,0.05,0.016,5.8,14.0,841.0,112.0,25.2,2142.0,9.3,1.56,32.1,20.5,81.5,41.8,65.0,37.0,0.04,78.2,67.4,190.0,,28.1,3.9,,143.14,975.974,9400.0,2900.0,6.8
Slovenia,26062.0,108.47,12.6,0.5,,0.917,7.54,41.0,47.0,68.0,3.6,0.05,0.00063,2.1,14.0,12153.0,104.0,24.2,3042.0,14.0,1.61,25.3,20.2,79.0,44.9,65.5,,0.07,81.3,88.0,53.0,99.3,29.0,4.8,18.3,235.01,1542.951,,3220.0,8.9
South Africa,6001.0,43.91,9.3,36.4,,0.709,7.05,14.0,85.0,79.8,1.9,0.2,0.43,34.5,12.0,3239.0,57.0,63.0,,23.5,2.381,38.1,28.3,55.1,28.0,58.3,35.0,1.2,65.3,39.0,248.0,72.1,29.0,6.2,36.0,55.75,225.098,5418.0,3000.0,17.75
South Korea,32143.0,241.58,10.2,0.6,2.8,0.916,8.01,69.0,43.0,27.6,0.1,22.9,0.00063,3.2,12.0,18695.0,33.0,31.6,3085.0,21.2,0.864,35.0,4.7,96.6,43.2,72.3,,0.36,83.06,48.0,105.0,,30.4,5.1,2.0,29.05,1297.123,63476.0,3040.0,11.5
Spain,29816.0,186.4,10.0,0.6,,0.904,8.12,41.0,49.0,59.2,2.6,0.05,0.074,3.1,14.0,15187.0,170.0,34.7,3430.0,5.3,1.24,37.5,23.8,90.8,43.9,65.7,57.0,0.03,83.2,118.6,122.0,94.7,32.3,4.2,6.4,164.29,1167.994,89962.0,3260.0,13.3
Sri Lanka,394.0,,4.3,2.4,,0.782,6.14,,100.0,7.5,9.7,69.3,,7.1,12.0,671.0,68.0,39.8,,12.9,2.188,28.3,5.2,33.5,33.7,56.4,,0.35,76.9,6.6,135.0,81.0,23.8,2.8,,34.98,63.499,4115.0,2370.0,26.95
Sudan,815.0,,0.5,5.1,,0.51,2.54,,93.0,1.5,97.0,0.05,,58.4,12.0,84.0,121.0,35.4,,4.8,4.347,,6.6,29.9,18.3,47.7,,2.38,69.1,21.0,52.0,24.3,22.7,2.2,623.0,155.2,9.521,,2280.0,26.9
Suriname,636.0,,5.1,5.4,,0.738,6.82,,,51.5,14.3,0.6,0.0013,18.0,,,30.0,57.6,,25.9,2.394,,26.4,47.9,31.0,48.1,30465.0,0.87,71.5,40.3,183.0,76.0,29.3,,,48.97,29.514,47.0,2460.0,25.7
Sweden,52896.0,169.0,9.2,1.1,,0.945,9.26,46.0,17.0,64.3,8.1,0.4,0.095,2.6,15.0,,169.0,28.8,5434.0,12.4,1.7,52.7,20.6,95.8,41.1,75.2,,0.72,82.4,76.1,68.0,,33.5,7.7,36.0,341.23,2047.908,4074.0,3110.0,2.1
Switzerland,85135.0,188.69,11.5,0.6,,0.955,8.83,49.0,41.0,68.0,5.2,0.4,0.12,4.0,10.0,,285.0,32.7,7280.0,9.8,1.48,28.5,19.5,93.2,42.7,81.9,,0.83,83.92,72.9,80.0,,30.1,5.1,6.0,318.69,2507.621,12156.0,3450.0,5.5
Syria,1194.0,,0.3,0.9,,0.567,1.43,,89.0,10.0,87.0,,0.00063,21.5,10.0,96.0,24.0,35.8,,2.1,2.771,,27.8,36.9,23.5,,1627.0,0.2,72.7,21.2,60.0,39.0,26.3,5.1,3753.0,111.43,16.229,1138.0,3040.0,17.75
Tajikistan,894.0,,3.3,1.6,,0.668,1.94,,85.0,1.4,97.9,0.05,,33.8,14.0,315.0,38.0,34.0,,5.3,3.556,,14.2,21.5,25.3,55.6,20.0,2.06,69.5,8.7,121.0,98.1,22.5,5.2,,54.54,6.813,132.0,2190.0,2.0
Tanzania,1084.0,,9.4,6.5,,0.529,5.1,,89.0,61.4,35.2,0.05,,50.3,7.0,209.0,34.0,40.5,,8.2,4.832,23.6,8.4,16.3,18.2,60.2,,3.06,67.3,10.0,59.0,43.5,18.9,3.4,,40.29,10.708,172.0,2020.0,22.35
Thailand,7785.0,206.81,8.3,2.6,,0.777,6.04,,97.0,1.2,5.4,93.2,0.0013,9.0,7.0,3316.0,33.0,36.4,,8.0,1.514,31.8,10.0,52.6,39.0,68.3,3667.0,0.22,77.7,27.9,449.0,78.7,21.0,4.1,0.4,29.35,181.722,6750.0,2540.0,26.3
Togo,899.0,,3.1,,,0.515,2.8,,80.0,29.0,20.0,0.05,,66.9,,717.0,26.0,43.1,,14.8,4.259,12.2,8.4,12.2,20.0,50.3,,2.45,64.3,8.5,67.0,20.4,22.3,5.0,211.0,7.96,10.901,,2150.0,27.15
Trinidad and Tobago,16637.0,79.89,8.4,30.6,,0.796,7.16,,92.0,57.6,5.8,0.3,,17.5,,4619.0,76.0,40.3,,8.3,1.711,,18.6,76.2,37.8,57.0,44054.0,0.26,76.1,57.8,292.0,82.8,29.2,3.1,,103.8,151.816,,2700.0,25.75
Tunisia,3318.0,,1.9,3.1,,0.74,6.59,,93.0,0.1,99.8,0.05,0.0063,16.9,13.0,1902.0,97.0,32.8,,3.2,2.174,39.7,26.9,55.3,32.7,55.4,4275.0,1.09,77.0,25.5,194.0,39.8,28.7,6.6,,114.47,481.185,720.0,3330.0,19.2
Turkey,9127.0,,2.0,2.6,,0.82,4.48,28.0,82.0,0.2,89.5,0.05,0.094,10.0,12.0,7288.0,63.0,41.9,1224.0,2.3,2.055,35.4,32.01,75.4,32.2,64.6,622.0,1.37,78.6,19.3,335.0,88.1,24.8,4.4,8.5,193.94,407.286,75667.0,3500.0,9.9
Turkmenistan,8124.0,,5.4,4.2,,0.715,1.72,,80.0,9.0,93.7,0.05,0.0013,42.0,14.0,1834.0,1.0,40.8,,6.1,2.74,,18.6,20.9,29.2,48.4,42549.0,1.61,69.7,41.7,552.0,97.6,23.3,3.0,,137.09,0.684,450.0,2740.0,15.1
Uganda,737.0,,9.5,10.5,,0.544,4.94,,93.0,88.6,14.0,0.05,,45.8,12.0,417.0,24.0,42.8,,10.4,4.824,25.2,5.3,23.8,15.7,59.7,,3.23,66.7,11.7,124.0,36.1,18.2,2.6,143.0,37.27,15.75,288.0,2220.0,22.8
Ukraine,3496.0,67.52,8.6,6.2,,0.779,5.81,,46.0,81.9,1.7,0.05,0.3,8.4,14.0,3018.0,81.0,26.1,,17.7,1.228,38.8,24.1,66.6,41.2,52.3,720.0,-0.49,73.0,32.3,148.0,100.0,25.0,5.4,168.0,145.03,234.597,24416.0,3290.0,8.3
United Arab Emirates,43103.0,151.09,3.8,0.5,,0.89,2.7,,91.0,9.0,76.0,2.0,,7.5,7.0,,59.0,32.5,,5.2,1.387,21.8,31.7,92.5,38.4,77.1,335103.0,1.39,76.1,74.4,104.0,42.1,25.3,1.3,,132.66,326.551,293.0,3170.0,27.0
United Kingdom,41855.0,92.63,11.4,1.2,2.2,0.932,8.54,49.0,27.0,59.3,6.3,0.4,1.8,4.3,11.0,23656.0,345.0,34.8,4290.0,6.9,1.65,35.2,27.8,96.8,40.6,78.9,14284.0,0.58,81.4,79.6,,,31.5,5.5,54.4,232.2,1454.849,188000.0,3450.0,8.45
United States,65134.0,191.97,9.8,5.0,3.7,0.926,7.92,47.0,69.0,69.0,1.1,1.2,36.0,6.5,,1508.0,102.0,41.4,10637.0,14.5,1.705,32.3,36.2,95.5,38.5,76.8,35922.0,0.71,78.4,124.8,639.0,,28.0,5.0,17.7,254.69,1292.61,275232.0,3800.0,8.55
Uruguay,1619.0,53.88,10.8,12.1,,0.817,8.61,,41.0,58.1,0.05,0.05,0.11,7.1,13.0,6103.0,50.0,39.7,,18.8,1.963,39.0,27.9,68.4,35.5,68.6,,0.36,77.1,98.6,337.0,97.1,24.0,4.9,,210.54,247.008,3231.0,2840.0,17.55
Uzbekistan,1756.0,39.2,2.7,1.1,,0.72,2.12,,59.0,2.6,88.7,0.05,0.019,17.4,13.0,862.0,24.0,35.3,,8.3,2.785,16.1,16.6,51.4,30.1,53.3,1682.0,1.41,73.0,20.7,68.0,99.8,22.4,6.3,,130.81,10.9,1003.0,2560.0,12.05
Venezuela,4733.0,,5.6,36.7,,0.711,2.76,,79.0,88.0,0.4,0.05,0.044,24.2,,10.32,23.0,46.9,,2.1,2.25,,25.6,71.2,30.0,25.9,18821.0,1.26,73.9,56.6,134.0,88.1,22.7,3.6,,117.79,22.121,2275.0,2650.0,25.35
Vietnam,2715.0,66.38,8.3,1.5,,0.704,2.94,,30.0,8.2,0.1,16.4,,19.9,14.0,1437.0,26.0,35.7,,7.2,2.05,,2.1,71.4,31.9,55.3,3194.0,1.0,73.7,28.6,128.0,76.9,22.8,4.3,16.6,16.36,44.858,24589.0,2780.0,24.45
Yemen,855.0,,0.1,6.8,,0.47,1.95,,99.0,0.01,99.2,0.05,,58.4,7.0,,21.0,36.7,,7.1,3.7,30.9,17.1,26.5,19.8,,797.0,2.33,66.6,14.7,53.0,13.7,23.0,5.2,1294.0,43.97,4.807,,2050.0,23.85
Zambia,1292.0,,4.8,5.4,,0.584,4.86,,95.0,95.5,1.0,0.05,,61.7,8.0,925.0,45.0,57.1,,14.4,4.559,19.9,8.1,27.4,16.9,53.6,,2.97,62.5,11.9,123.0,52.3,18.7,1.3,,9.71,12.275,,1880.0,21.4
Zimbabwe,1464.0,,4.8,7.5,,0.571,3.16,,88.0,0.87,0.7,0.05,0.0013,54.6,7.0,,77.0,44.3,,23.6,3.531,18.3,15.5,31.0,20.5,40.4,,2.28,60.7,15.2,127.0,81.1,19.9,6.1,848.0,31.9,24.864,232.0,2210.0,21.0
