Pays,GDP,Internet connection speeds,Alcohol consumption,Intentional homicide rate,Military expenditures,Human Dev Index,Democracy Index,Tertiary education atteinment,Importance religion,Christianity%,Islam%,Buddhism%,Jewish%,Under-five mortality,Age criminal responsibility,Minimum wage,External debt,Income equality,Health Expenditure,Suicide Rate,Fertility rate,Tobacco Consumption,Obesity Rate,Internet User,Median Age,EcoFreedom,Oil Production,PopGrowthRate,Life Expectancy,Meat consumption,Incarceration rate,Literacy Rate,WAgeFirstMarriage,Spending Education,Homeless Population,Milk Consumption,Journal Articles,Books Publised,Food Energy,Yearly Temperature
Libya,481.0,23.986704370613097,0.0,1.8943259752586528,7.5577999064078245,0.724,1.95,41.0000000008219,83.99999999919919,2.7,97.0,0.3,0.012999998950306235,11.5,14.0,3863.0,9.0,36.39999999973156,3595.7886676599305,4.5,2.206,30.300000000206325,32.5,20.8,25.8,60.999999999896886,159383.0,1.33,75.8,28.6,139.0,24.2,29.2,2.3,405.0,75.0,24.257,26.0,3150.0,21.8
Lithuania,19795.0,132.67,15.0,4.6,5.801412556172612,0.882,7.13,55.0,42.0,83.7,0.1,0.05,0.015,3.7,14.0,8054.0,74.0,37.3,2385.0,20.2,1.61,36.3,26.3,80.1,44.5,74.2,689.0,-0.55,76.0,49.5,216.0,99.8,27.3,4.0,14.1,295.46,809.278,3075.0,3430.0,6.2
Luxembourg,115481.0,154.26,13.0,0.3,4.019295832567546,0.916,8.68,50.0,39.0,72.4,2.3,0.05,0.0038,2.8,18.0,28438.0,22.1,34.9,5216.0,8.6,1.34,29.5,22.6,94.5,39.5,75.9,3193.9999999752326,1.27,82.4,141.7,83.0,64.6000000001053,31.1,4.0,37.5,255.3,1438.158,2000.0,3680.0,8.65
Madagascar,523.0,41.4,1.9,2.838418355049015,1.5212083437451818,0.528,5.7,40.99999999955065,93.0,85.0,10.0,0.05,0.00063,50.6,13.000000000753971,397.0,41.0,42.6,3137.208678160238,9.2,4.026,44.0,5.3,9.5,20.3,56.6,3193.999999998661,2.67,65.3,17.6,102.0,49.4,18.4,2.8,35.299999999983754,24.84,4.836,119.0,2130.0,22.65
Malawi,435.0,16.814107906165134,3.7,1.8,1.2140301186186755,0.483,5.74,40.999999999664624,99.0,81.95,20.0,0.05,0.013000000004410595,41.6,13.000000000309228,288.0,39.0,44.7,2610.796171161605,10.6,4.127,25.8,5.8,14.1,16.8,51.4,3193.9999999525025,2.87,65.6,5.1,71.0,35.1,17.9,4.0,35.3000000000838,7.98,12.732,117.0,2150.0,21.9
Malaysia,11414.0,103.34,0.9,2.1,3.1392896431844504,0.81,7.19,40.999999999905754,96.0,9.2,61.3,19.8,0.012999999994633527,8.6,10.0,2663.0,68.0,41.0,2537.2228666378714,5.8,1.983,28.9,15.6,80.4,29.2,74.0,21202.0,1.35,74.7,50.9,212.0,47.1,25.7,4.7,35.300000000011494,25.28,750.475,15354.0,2890.0,25.4
Mali,887.0,7.744338675588722,1.3,3.4534181365370955,5.906955281140958,0.434,3.93,40.99999999944612,95.0,2.4,95.0,0.05,0.013000000076033302,94.0,13.000000000460204,583.0,26.0,33.0,-430.79577934158306,8.0,5.785,13.0,8.6,12.4,16.1,58.1,3194.0000000522123,2.99,62.8,19.0,33.0,13.6,16.7,3.1,164.0,98.68,4.718,14.0,2590.0,28.25
Malta,33752.0,134.48,8.1,1.6,2.7543595067302498,0.895,7.68,40.99999999981043,86.0,91.6,2.6,0.05,0.00063,7.0,13.000000001400622,10668.0,691.0,29.2,3001.295700110029,5.3,1.1,33.9,28.9,78.5,42.3,68.6,3193.99999998117,0.31,81.9,86.9,153.0,85.8,29.2,5.3,35.299999999886154,190.06,960.733,404.0,3600.0,19.2
Mauritania,1678.0,18.700176684343717,0.0,3.9542598469775214,4.522716420561444,0.546,3.92,40.99999999945618,98.0,0.14,99.9,0.04999999985244585,0.012999999964563358,72.9,7.0,981.0,76.0,32.6,1771.8630389534408,5.5,4.503,30.29999999986441,12.7,20.9,21.0,55.7,3194.0000000531436,2.69,68.4,29.9,53.0,26.6,19.0,2.6,35.29999999989229,160.82,4.542,2853.999999646563,2810.0,27.65
Mauritius,11169.0,107.58948936812817,3.6,2.9,2.580896292425985,0.804,8.14,40.99999999961375,84.00000000010527,32.2,17.3,0.05,0.013000000123497557,16.0,12.999999999969987,2983.0,2.01,36.8,5900.561586209202,8.8,1.4,35.9,10.8,55.5,36.3,73.0,3194.000000033586,0.23,74.1,39.6,218.0,64.6,25.4,4.8,35.29999999988951,117.27,106.789,80.0,2930.0,22.4
